class,selector,types,armv7_imp
animationTimer,animationTimer,types 0x3c64c5 @8@0:4,0x2a4c
animationTimer,animationInterval,types 0x3c64cc d8@0:4,0x3270
animationTimer,touchesCancelled:withEvent:,types 0x3c64d3 v16@0:4@8@12,0x32b8
animationTimer,touchesEnded:withEvent:,types 0x3c64d3 v16@0:4@8@12,0x3430
animationTimer,touchesMoved:withEvent:,types 0x3c64d3 v16@0:4@8@12,0x35a8
animationTimer,touchesBegan:withEvent:,types 0x3c64d3 v16@0:4@8@12,0x3720
animationTimer,ConvertCoordP:,types 0x3c64e0 {CGPoint=ff}16@0:4{CGPoint=ff}8,0x38b8
animationTimer,acceleratedInX:Y:Z:,types 0x3c6500 v20@0:4f8f12f16,0x2a60
animationTimer,dealloc,types 0x3c6510 v8@0:4,0x3988
animationTimer,setAnimationInterval:,types 0x3c6517 v16@0:4d8,0x2a48
animationTimer,setAnimationTimer:,types 0x3c6521 v12@0:4@8,0x2a44
animationTimer,stopAnimation,types 0x3c6510 v8@0:4,0x2a40
animationTimer,startAnimation,types 0x3c6510 v8@0:4,0x2a3c
animationTimer,recreateFramebuffer,types 0x3c6510 v8@0:4,0x2c84
animationTimer,destroyFramebuffer,types 0x3c6510 v8@0:4,0x39d0
animationTimer,createFramebuffer,types 0x3c652b c8@0:4,0x39e0
animationTimer,layoutSubviews,types 0x3c6510 v8@0:4,0x2a24
animationTimer,drawView,types 0x3c6510 v8@0:4,0x2a20
animationTimer,initWithFrame:,types 0x3c6532 @24@0:4{CGRect={CGPoint=ff}{CGSize=ff}}8,0x2d24
layerClass,layerClass,types 0x3c64be #8@0:4,0x2cfc
AppController,setWindow:,types 0x3c6521 v12@0:4@8,0x1d1b4
AppController,window,types 0x3c64c5 @8@0:4,0x1cff0
AppController,setGlView:,types 0x3c6521 v12@0:4@8,0x1d1e8
AppController,glView,types 0x3c64c5 @8@0:4,0x1cfdc
AppController,enterTwitter,types 0x3c6510 v8@0:4,0x1d21c
AppController,updateGLLive,types 0x3c6510 v8@0:4,0x1d288
AppController,enableOrientation,types 0x3c6510 v8@0:4,0x1d408
AppController,disbaleOrientation,types 0x3c6510 v8@0:4,0x1d4d4
AppController,statusBarOrientationLandscapeLeft,types 0x3c6510 v8@0:4,0x1d590
AppController,statusBarOrientationLandscapeRight,types 0x3c6510 v8@0:4,0x1d5cc
AppController,enabledAcceleromete,types 0x3c6510 v8@0:4,0x1d114
AppController,disabledAcceleromete,types 0x3c6510 v8@0:4,0x1d09c
AppController,showStatusBar,types 0x3c6510 v8@0:4,0x1d608
AppController,hideStatusBar,types 0x3c6510 v8@0:4,0x1d05c
AppController,updateIGP,types 0x3c6510 v8@0:4,0x1d694
AppController,deviceOrientationDidChange:,types 0x3c6521 v12@0:4@8,0x1d8d4
AppController,dealloc,types 0x3c6510 v8@0:4,0x1d994
AppController,applicationDidReceiveMemoryWarning:,types 0x3c6521 v12@0:4@8,0x1cfac
AppController,applicationWillEnterForeground:,types 0x3c6521 v12@0:4@8,0x1da18
AppController,applicationDidEnterBackground:,types 0x3c6521 v12@0:4@8,0x1dad4
AppController,applicationDidBecomeActive:,types 0x3c6521 v12@0:4@8,0x1db04
AppController,applicationWillResignActive:,types 0x3c6521 v12@0:4@8,0x1db34
AppController,applicationWillTerminate:,types 0x3c6521 v12@0:4@8,0x1db68
AppController,restartMovie,types 0x3c6510 v8@0:4,0x1db78
AppController,stopMovie,types 0x3c6510 v8@0:4,0x1db88
AppController,startMovie,types 0x3c6510 v8@0:4,0x1db98
AppController,initView,types 0x3c6510 v8@0:4,0x1dc30
AppController,applicationDidFinishLaunching:,types 0x3c6521 v12@0:4@8,0x1dc40
sharedInstance,sharedInstance,types 0x3c64c5 @8@0:4,0x1cfc8
ChangeOrientation,ChangeOrientation,types 0x3c6510 v8@0:4,0x1dc8d0
ChangeOrientation,UpdateOffY,types 0x3c6510 v8@0:4,0x1dc270
ChangeOrientation,SetMiniLabelTextOffX,types 0x3c6510 v8@0:4,0x1dc22c
ChangeOrientation,SetMiniLabelText,types 0x3c6510 v8@0:4,0x1dc758
ChangeOrientation,SetMiniLabelVisible,types 0x3c6510 v8@0:4,0x1dc1e8
ChangeOrientation,SetText,types 0x3c6510 v8@0:4,0x1dc058
ChangeOrientation,SetVisable,types 0x3c6510 v8@0:4,0x1dc178
TwitterUtilityDelegate,connection:didFailWithError:,types 0x3c64d3 v16@0:4@8@12,0x23a78c
TwitterUtilityDelegate,connectionDidFinishLoading:,types 0x3c6521 v12@0:4@8,0x23abd8
TwitterUtilityDelegate,connection:didReceiveData:,types 0x3c64d3 v16@0:4@8@12,0x23a760
TwitterUtilityDelegate,connection:didReceiveResponse:,types 0x3c64d3 v16@0:4@8@12,0x23a734
macaddress_tracking,macaddress_tracking,types 0x3c64c5 @8@0:4,0x23aa60
deviceType,deviceType,types 0x3c6661 i8@0:4,0x23f8e8
deviceType,deviceMajorModelNumber,types 0x3c6661 i8@0:4,0x23f8d4
deviceType,deviceMinorModelNumber,types 0x3c6661 i8@0:4,0x23f8c0
deviceType,isHighPerformance,types 0x3c652b c8@0:4,0x23f8a8
deviceType,isBluetoochSupport,types 0x3c652b c8@0:4,0x23f890
deviceType,isMultitaskSupport,types 0x3c652b c8@0:4,0x23f878
deviceType,isMoviePlayerViewControlerSupport,types 0x3c652b c8@0:4,0x23f860
deviceType,firmwareString,types 0x3c64c5 @8@0:4,0x23f84c
deviceType,firmwareMajorVersion,types 0x3c6661 i8@0:4,0x23f838
deviceType,firmwareMiddleVersion,types 0x3c6661 i8@0:4,0x23f824
deviceType,firmwareMinorVersion,types 0x3c6661 i8@0:4,0x23f810
deviceType,firmwareVersion,types 0x3c6661 i8@0:4,0x23f7fc
deviceType,preferredLanguage,types 0x3c64c5 @8@0:4,0x23f7e8
deviceType,screenWidth,types 0x3c6661 i8@0:4,0x23f7d4
deviceType,screenHeight,types 0x3c6661 i8@0:4,0x23f7c0
deviceType,screenScale,types 0x3c6668 f8@0:4,0x23f7ac
deviceType,deviceScreenWidth,types 0x3c6661 i8@0:4,0x23f798
deviceType,deviceScreenHeight,types 0x3c6661 i8@0:4,0x23f784
deviceType,init,types 0x3c64c5 @8@0:4,0x23fa34
platformName,platformName,types 0x3c64c5 @8@0:4,0x23f994
platformName,instance,types 0x3c64c5 @8@0:4,0x23f938
dealloc,dealloc,types 0x3c6510 v8@0:4,0x24907c
dealloc,freeMovie,types 0x3c6510 v8@0:4,0x2490d0
dealloc,shouldAutorotateToInterfaceOrientation:,types 0x3c6681 c12@0:4i8,0x248d24
dealloc,isPlaying,types 0x3c668b C8@0:4,0x2493a8
dealloc,restartMovie,types 0x3c6510 v8@0:4,0x249018
dealloc,stopMovie,types 0x3c6510 v8@0:4,0x2494a0
dealloc,playMovie,types 0x3c6510 v8@0:4,0x249598
dealloc,moviePlayBackLoadStateChanged:,types 0x3c6521 v12@0:4@8,0x248f58
dealloc,moviePlayBackStateChange:,types 0x3c6521 v12@0:4@8,0x248e04
dealloc,moviePreloadDidFinish:,types 0x3c6521 v12@0:4@8,0x248d7c
dealloc,moviePlayBackDidFinish:,types 0x3c6521 v12@0:4@8,0x248d0c
dealloc,initWithFile:,types 0x3c6692 @12@0:4@8,0x24966c
MoviePlayerViewController,shouldAutorotateToInterfaceOrientation:,types 0x3c6681 c12@0:4i8,0x249fc8
igphtmlViewController,setAddressBar:,types 0x3c6521 v12@0:4@8,0x265efc
igphtmlViewController,addressBar,types 0x3c64c5 @8@0:4,0x2632e0
igphtmlViewController,setActivityIndicator:,types 0x3c6521 v12@0:4@8,0x265f30
igphtmlViewController,activityIndicator,types 0x3c64c5 @8@0:4,0x2632cc
